trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
401,False,"{'a': 0.5, 'e': 0.3619438202776613}",25,3,12.670025796140255,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.3149009076879342}",20,13,12.41429070093656,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.2670709068262097}",20,0,28.397159900911397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
404,False,"{'a': 0.5, 'e': 0.21857336778525918}",25,2,-23.021314437929068,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
405,False,"{'a': 0.5, 'e': 0.16952950915565845}",20,15,10.230040588706082,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.12006191504242673}",25,3,20.099721769875107,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.07029422866862556}",20,10,18.354777095060324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.02035084333167943}",20,14,11.58871875020485,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': -0.02964340851508158}",30,15,29.702879645822893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': -0.07956356727854007}",20,7,22.29037834062494,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': -0.12928485855971056}",20,5,20.69717814566396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': -0.17868300502473455}",25,13,19.461821006938088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': -0.2276345370335068}",20,10,19.17509278642226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.5, 'e': -0.2760171012494705}",20,13,10.698543172939363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': -0.3237097664592346}",25,14,21.460057022896542,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': -0.37059332583764143}",30,17,22.838596878692105,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': -0.4165505949027273}",30,16,23.210380095262817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': -0.46146670441591253}",20,13,14.940587169358215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': -0.5052293874952718}",25,17,16.16081116604512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': -0.5477292602242684}",20,13,12.281303466418652,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.5, 'e': -0.5888600950545919}",20,9,19.262271452096623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': -0.628519086319688}",25,13,24.229642491295586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.5, 'e': -0.6666071071953974}",20,9,22.332826171615146,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': -0.7030289574653885}",20,14,12.390995342787694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': -0.7376936014721172}",25,15,17.977512847822197,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': -0.7705143956585688}",30,19,21.47546889319621,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.5, 'e': -0.8014093051320141}",25,17,16.591769365970116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.5, 'e': -0.8303011087085271}",20,2,29.16546474687745,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.5, 'e': -0.8571175919257272}",20,2,32.231852160190385,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.5, 'e': -0.8817917275413242}",25,8,30.980969634449938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': -0.9042618430663237}",20,12,13.830787328459849,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.5, 'e': -0.9244717749141217}",25,16,15.316396894728484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': -0.9423710087802275}",20,16,7.63576045143972,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.5, 'e': -0.9579148059017166}",25,20,8.067860043548551,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.5, 'e': -0.9710643148808378}",20,13,12.614553255198892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': -0.9817866687932767}",25,11,19.61407427459446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': -0.9900550673383454}",20,12,15.75529283834174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': -0.9958488438257798}",30,20,22.74616914670871,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': -0.9991535168317018}",25,14,20.474115630325173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': -0.9999608263946371}",20,12,18.2154758768185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': -0.9982687546611172}",30,22,14.440461402614055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': -0.9940815309292618}",25,9,31.055174428997162,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': -0.9874096210777364}",30,13,34.12558726649695,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': -0.9782697014065067}",30,19,20.5124546832449,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.5, 'e': -0.9666846169547733}",20,11,16.432102451769467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': -0.9526833244002685}",25,20,8.693232643388024,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': -0.9363008196826471}",35,17,31.703233344235567,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.5, 'e': -0.9175780505318598}",25,10,28.16377495130584,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.5, 'e': -0.8965618141201538}",25,13,25.50166880280477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': -0.8733046400935156}",20,6,28.43325213614186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.5, 'e': -0.8478646592749066}",25,12,27.65138694470693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.5, 'e': -0.820305458367489}",30,18,23.8890291190948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.5, 'e': -0.7906959210209769}",25,16,20.01792905065553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.5, 'e': -0.7591100556583875}",25,11,22.098428882374787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.5, 'e': -0.7256268104935293}",20,9,19.907589223782786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.5, 'e': -0.6903298762015725}",30,22,16.667157766388943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': -0.6533074767359613}",25,20,11.382487024193354,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.5, 'e': -0.614652148814467}",25,16,19.13251142944324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': -0.5744605106255876}",25,12,26.2488625552685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.5, 'e': -0.5328330203333975}",25,17,16.395353615895132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.5, 'e': -0.48987372498444387}",20,1,26.412145589259868,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.5, 'e': -0.44569000044433316}",25,17,11.241868952785039,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.5, 'e': -0.40039228301397684}",35,24,21.56229993827919,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.5, 'e': -0.3540937933963556}",25,14,17.57779585642119,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.5, 'e': -0.3069102537037296}",20,8,21.68322543357479,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.5, 'e': -0.2589595982126113}",25,14,19.390828893742597,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.5, 'e': -0.21036167858951302}",30,18,22.077198705790405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.5, 'e': -0.16123796432418536}",35,21,26.254309073755003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': -0.11171123911915579}",25,10,30.05781232331792,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.5, 'e': -0.061905293994420546}",25,15,15.832947479527569,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.5, 'e': -0.011944617874349603}",30,17,27.053895405518887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
